;Berlin;Hamburg;Munich;Cologne;Frankfurt;Stuttgart;Düsseldorf;Leipzig;Dortmund;Essen;Bremen;Dresden;Hanover;Nuremberg;Duisburg;Bochum;Wuppertal;Bielefeld;Bonn;Münster;Karlsruhe;Mannheim;Augsburg;Wiesbaden;Gelsenkirchen;Mönchengladbach;Braunschweig;Chemnitz;Kiel;Aachen;Halle;Magdeburg;Freiburg;Krefeld;Lübeck;Oberhausen;Erfurt;Mainz;Rostock;Kassel;Hagen;Hamm;Saarbrücken;Herne;Mülheim;Potsdam;Ludwigshafen;Oldenburg;Leverkusen;Osnabrück
Kiel;295.8;86.4;695.5;432.7;478.5;620.3;411.3;364.5;359.6;381.0;163.4;437.8;218.1;545.6;392.4;371.2;395.2;276.1;448.1;311.0;602.9;549.6;664.1;489.1;372.5;428.2;230.0;432.2;0.0;479.6;337.8;264.6;720.9;408.1;62.8;382.8;376.2;498.2;131.1;337.5;374.0;332.6;604.6;366.5;389.2;290.3;551.0;181.5;420.1;265.8
Aachen;540.8;408.0;493.9;64.1;198.3;314.5;69.7;443.9;126.6;99.6;316.8;537.2;308.5;385.1;87.3;111.4;91.8;219.8;71.5;169.8;257.4;222.1;438.0;171.3;108.2;51.6;349.3;480.4;479.6;0.0;418.2;412.1;333.9;71.8;464.5;96.9;347.7;176.3;549.5;244.8;116.7;156.6;182.7;115.0;90.8;514.4;221.7;301.1;72.1;215.5
Halle;150.4;264.3;374.8;354.3;277.6;361.8;361.9;33.0;311.7;343.3;278.1;132.7;181.8;236.0;360.7;329.0;335.4;243.8;350.2;303.5;375.3;333.6;356.0;305.9;337.9;385.4;131.0;99.7;337.8;418.2;0.0;73.2;488.9;373.6;277.2;353.3;86.7;310.6;288.8;173.9;312.6;287.6;432.6;329.9;352.3;124.6;335.4;314.0;347.9;282.8
Magdeburg;128.7;192.9;443.2;348.6;303.6;410.2;349.1;100.9;293.9;325.9;218.6;188.1;132.1;299.2;343.2;311.5;323.2;211.8;349.6;274.2;414.3;367.5;420.2;327.9;319.2;372.6;76.8;169.4;264.6;412.1;73.2;0.0;531.9;357.9;204.0;334.7;132.9;334.3;221.5;173.1;298.6;266.2;457.0;311.0;335.5;102.3;369.2;256.9;340.0;244.6
Freiburg;639.2;635.5;278.3;332.9;242.7;131.4;367.2;494.1;391.7;389.0;568.9;543.9;504.9;287.0;389.8;389.9;365.6;450.9;309.2;440.8;119.5;171.7;230.3;233.0;395.0;367.8;511.8;483.5;720.9;333.9;488.9;531.9;0.0;382.2;682.0;395.2;403.9;223.7;739.7;386.8;375.5;408.6;151.4;396.0;386.4;613.4;170.2;572.6;344.0;476.2
Krefeld;485.5;337.6;505.6;51.7;201.0;340.0;18.0;401.9;64.0;32.3;245.5;499.2;244.9;381.2;16.2;46.6;40.4;154.7;75.9;99.7;289.8;245.2;452.1;182.3;40.0;20.2;290.0;446.1;408.1;71.8;373.6;357.9;382.2;0.0;394.4;26.1;312.4;190.0;481.1;201.1;61.1;92.9;235.2;48.0;22.6;459.8;245.4;229.3;44.4;145.1
Lübeck;234.9;57.2;640.3;412.1;439.4;575.5;394.9;303.0;339.8;364.9;152.3;375.0;177.5;491.5;378.3;353.5;375.8;249.9;424.8;294.9;562.9;510.3;611.2;453.2;356.4;414.1;177.9;370.3;62.8;464.5;277.2;204.0;682.0;394.4;0.0;368.4;321.2;461.9;95.7;295.3;352.8;310.9;573.9;349.6;373.8;228.2;511.8;182.1;400.0;249.3
Oberhausen;461.8;311.7;504.1;62.5;200.1;344.7;30.5;382.3;41.7;11.2;219.9;480.5;219.6;374.8;9.8;24.5;33.3;129.3;86.0;73.6;297.7;250.5;451.7;185.0;15.5;45.7;265.7;428.8;382.8;96.9;353.3;334.7;395.2;26.1;368.4;0.0;295.5;193.4;455.0;182.6;44.0;68.6;251.0;23.7;8.7;436.4;250.8;204.9;51.2;119.1
Erfurt;236.3;293.7;319.4;285.0;192.2;279.0;298.4;101.6;254.9;284.7;278.3;189.5;178.7;170.5;301.4;271.2;272.4;208.3;277.3;259.5;289.1;246.9;290.9;221.5;280.8;321.1;146.9;133.8;376.2;347.7;86.7;132.9;403.9;312.4;321.2;295.5;0.0;225.6;353.0;114.1;252.2;236.1;346.8;273.4;292.8;210.0;248.8;307.6;280.6;251.2
Mainz;455.6;413.5;318.9;139.0;33.7;151.3;172.2;327.0;177.8;184.4;345.3;405.4;284.5;212.1;191.4;180.8;160.4;227.4;116.2;223.1;110.2;58.4;263.9;9.5;188.2;183.5;298.9;343.9;498.2;176.3;310.6;334.3;223.7;190.0;461.9;193.4;225.6;0.0;526.3;170.5;162.5;189.4;123.0;186.7;185.3;428.5;59.1;350.3;145.8;254.7
